0x46,_B_READ,int,d1,int,pda_mode,d2,int,pos,d3,int,size,a1,void *,buf,,,,,,,ディスクからの読み込み
0x47,_B_RECALI,int,d1,int,pda_mode,,,,,,,,,,,,,,,,ディスクのリキャリブレイト
0x48,_B_ASSIGN,int,d1,int,pda,d2,int,record,d3,int,interleave,a1,const void *,alt,,,,,,,ハードディスクの代替トラック設定
0x49,_B_WRITED,int,d1,int,pda_mode,d2,int,pos,d3,int,size,a1,const void *,data,,,,,,,2HD への破損データ書き込み
0x4a,_B_READID,int,d1,int,pda_mode,d2,int,pos,=d2,void *,id_out,,,,,,,,,,2HD の ID 情報の読み出し
0x4b,_B_BADFMT,int,d1,int,pda,d2,int,record,d3,int,interleave,,,,,,,,,,ハードディスクの破損トラックを使用不能にする
0x4c,_B_READDL,int,d1,int,pda_mode,d2,int,pos,d3,int,size,a1,void *,buf,,,,,,,2HD からの破損データ読み込み
0x4d,_B_FORMAT,int,d1,int,pda_mode,d2,int,pos,d3,int,id_size,a1,const void *,id_data,,,,,,,ディスクのフォーマット
0x4e,_B_DRVCHK,int,d1,int,pda,d2,int,mode,,,,,,,,,,,,,2HD ドライブの状態設定
0x4f,_B_EJECT,int,d1,int,pda,,,,,,,,,,,,,,,,ディスクのイジェクト/シッピング
0x50,_DATEBCD,,,,,,,,,,,,,,,,,,,,日付データのバイナリ→BCD 変換
0x50,#_BINDATEBCD,int,d1,int,date_bin,,,,,,,,,,,,,,,,日付データのバイナリ→BCD 変換
0x51,_DATESET,,,,,,,,,,,,,,,,,,,,日付の設定
0x51,#_BINDATESET,void,d1,int,date_bcd,,,,,,,,,,,,,,,,日付の設定
0x52,_TIMEBCD,int,d1,int,time_bin,,,,,,,,,,,,,,,,時刻データのバイナリ→BCD 変換
0x53,_TIMESET,void,d1,int,time_bcd,,,,,,,,,,,,,,,,時刻の設定
0x54,_DATEGET,,,,,,,,,,,,,,,,,,,,日付の読み込み
0x54,#_BINDATEGET,int,,,,,,,,,,,,,,,,,,,日付の読み込み
0x55,_DATEBIN,int,d1,int,date_bcd,,,,,,,,,,,,,,,,日付データの BCD→バイナリ変換
0x56,_TIMEGET,int,,,,,,,,,,,,,,,,,,,時刻の読み込み
0x57,_TIMEBIN,int,d1,int,time_bcd,,,,,,,,,,,,,,,,時刻データの BCD→バイナリ変換
0x58,_DATECNV,int,a1,const char *,str,,,,,,,,,,,,,,,,日付データの文字列→バイナリ変換
0x59,_TIMECNV,int,a1,const char *,str,,,,,,,,,,,,,,,,時刻データの文字列→バイナリ変換
0x5a,_DATEASC,int,d1,int,date_bin_fmt,a1,char *,buf,,,,,,,,,,,,,日付データのバイナリ→文字列変換
0x5b,_TIMEASC,int,d1,int,time_bin,a1,char *,buf,,,,,,,,,,,,,時刻データのバイナリ→文字列変換
0x5c,_DAYASC,void,d1,int,weekday,a1,char *,buf,,,,,,,,,,,,,曜日データのバイナリ→文字列変換
