0xff37,_NAMECK,int,l,const char *,file,l,struct dos_nameckbuf *,buffer,,,,,,,,,,,,,,,,,,,ファイル名展開
0xff39,_MKDIR,int,l,const char *,file,,,,,,,,,,,,,,,,,,,,,,サブディレクトリ作成
0xff3a,_RMDIR,int,l,const char *,file,,,,,,,,,,,,,,,,,,,,,,サブディレクトリ削除
0xff3b,_CHDIR,int,l,const char *,file,,,,,,,,,,,,,,,,,,,,,,カレントディレクトリ変更
0xff3c,_CREATE,int,l,const char *,file,w,dosmode_t,atr,,,,,,,,,,,,,,,,,,,ファイル作成
0xff3d,_OPEN,int,l,const char *,file,w,int,mode,,,,,,,,,,,,,,,,,,,ファイルオープン
0xff3e,_CLOSE,int,w,int,fileno,,,,,,,,,,,,,,,,,,,,,,ファイルクローズ
0xff3f,_READ,int,w,int,fileno,l,char *,buffer,l,int,len,,,,,,,,,,,,,,,,ファイル入力
0xff40,_WRITE,int,w,int,fileno,l,const char *,buffer,l,int,len,,,,,,,,,,,,,,,,ファイル出力
0xff41,_DELETE,int,l,const char *,file,,,,,,,,,,,,,,,,,,,,,,ファイル削除
0xff42,_SEEK,long,w,int,fileno,l,int,offset,w,int,mode,,,,,,,,,,,,,,,,ファイルポインタ移動
0xff43,_CHMOD,dosmode_t,l,const char *,file,w,dosmode_t,atr,,,,,,,,,,,,,,,,,,,ファイル属性収得/設定
0xff44,_IOCTRL,,,,,,,,,,,,,,,,,,,,,,,,,,デバイスドライバ ioctrl 直接入出力
0xff44,#_IOCTRLGT,int,c,0,,w,int,fileno,,,,,,,,,,,,,,,,,,,ファイルの装置情報を調べる
0xff44,#_IOCTRLST,int,c,1,,w,int,fileno,w,int,dt,,,,,,,,,,,,,,,,ファイルの装置情報を設定する
0xff44,#_IOCTRLRH,int,c,2,,w,int,fileno,l,char *,ptr,l,int,len,,,,,,,,,,,,,ファイルからデータを読み込む
